Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-21 00:00:00+05:30,1978.199951171875,2002.0,1976.5,2000.5,11154539,0.0,0.0
2025-07-22 00:00:00+05:30,2013.0999755859375,2018.0,2003.0,2007.0999755859375,7418407,0.0,0.0
2025-07-23 00:00:00+05:30,2011.0,2029.800048828125,2003.0,2024.300048828125,6817458,0.0,0.0
2025-07-24 00:00:00+05:30,2037.699951171875,2037.699951171875,2008.4000244140625,2014.199951171875,9553588,0.0,0.0
2025-07-25 00:00:00+05:30,2015.0,2015.0,1999.0,2004.5999755859375,4653299,0.0,0.0
2025-07-28 00:00:00+05:30,2003.0,2021.4000244140625,2000.5,2008.5,6029790,0.0,0.0
2025-07-29 00:00:00+05:30,1999.9000244140625,2026.5,1996.300048828125,2021.5999755859375,9947848,0.0,0.0
2025-07-30 00:00:00+05:30,2028.0,2032.5999755859375,2017.0,2025.800048828125,7577018,0.0,0.0
2025-07-31 00:00:00+05:30,2014.5999755859375,2031.4000244140625,2008.0,2018.199951171875,11091516,0.0,0.0
2025-08-01 00:00:00+05:30,2014.0,2028.300048828125,2009.300048828125,2012.199951171875,5658629,0.0,0.0
2025-08-04 00:00:00+05:30,2010.0999755859375,2018.5,1988.0999755859375,1992.0,6966973,0.0,0.0
2025-08-05 00:00:00+05:30,1986.5,1994.4000244140625,1965.5,1977.5999755859375,11989029,0.0,0.0
2025-08-06 00:00:00+05:30,1971.0999755859375,1988.0,1970.0,1985.300048828125,7040102,0.0,0.0
2025-08-07 00:00:00+05:30,1980.0999755859375,2001.5999755859375,1976.800048828125,1995.4000244140625,6540593,0.0,0.0
2025-08-08 00:00:00+05:30,1987.0999755859375,1992.800048828125,1970.0,1973.9000244140625,6947632,0.0,0.0
2025-08-11 00:00:00+05:30,1975.9000244140625,1997.5999755859375,1973.0999755859375,1995.5999755859375,4552927,0.0,0.0
2025-08-12 00:00:00+05:30,1991.9000244140625,1996.0,1967.5,1969.9000244140625,6468901,0.0,0.0
2025-08-13 00:00:00+05:30,1994.0,1994.0,1969.0999755859375,1980.300048828125,6788698,0.0,0.0
2025-08-14 00:00:00+05:30,1978.0,1996.0,1971.199951171875,1991.0999755859375,8755858,0.0,0.0
2025-08-18 00:00:00+05:30,2010.0,2026.5999755859375,1995.5999755859375,2003.5999755859375,9642398,0.0,0.0
2025-08-19 00:00:00+05:30,1998.300048828125,2006.0999755859375,1986.699951171875,1991.0999755859375,6175210,0.0,0.0
